0,Normal,10
1,Normal,10
2,Excellent,8.3
3,Normal,4.3
4,Excellent,
5,Excellent,
6,Excellent,
7,Manual,
8,Excellent,
9,Normal,
10,Normal,
11,Normal,4.3
12,Normal,10
13,Normal,
14,Normal,
15,,
16,Excellent,
17,Great,7.5
18,Excellent,
19,Excellent,
20,Manual,
21,Excellent,
22,Excellent,
23,Normal,
24,Excellent,
25,Manual,
26,Manual,10
27,Normal,10
28,Normal,
29,Great,
30,Excellent,
31,Normal,10
32,Excellent,10
33,Normal,10
34,Excellent,10
35,Normal,5
36,Normal,5
37,Normal,
38,Normal,
39,Normal,
40,Normal,5
41,Normal,10
42,Normal,
43,Normal,
44,Normal,
45,Normal,
46,Normal,
47,Normal,
48,Normal,7.5
49,Normal,
50,Normal,
51,Normal,
52,Normal,
53,Normal,7.1
54,Normal,5
55,,
56,Normal,7.8
57,Normal,9.3
58,Normal,7.8
59,Normal,
60,Normal,
61,Normal,7.5
62,Normal,5
63,Normal,
64,Normal,6.8
65,Normal,5
66,Normal,10
67,Normal,7.8
68,Excellent,10
69,Normal,
70,Normal,
71,Excellent,
72,Excellent,9.3
73,Excellent,10
